iter	Passed	Remaining
0	21	629
1	57	802
2	86	776
3	115	750
4	162	814
5	204	818
6	328	1078
7	407	1119
8	455	1063
9	486	973
10	516	891
11	546	819
12	577	755
13	610	698
14	657	657
15	695	608
16	726	555
17	757	505
18	793	459
19	842	421
20	923	395
21	971	353
22	1008	306
23	1050	262
24	1083	216
25	1114	171
26	1166	129
27	1216	86
28	1249	43
29	1280	0
